Full_Address,lat,long,min_dist_mrt,min_dist_mall,cbd_dist
Block 570 ANG MO KIO AVE 3,1.369808,103.855853,697.6313754135195,825.2776760739724,9612.148063820348
Block 624 ANG MO KIO AVE 4,1.3815302,103.8399673,552.1174696617495,1254.202019060597,10967.721266666631
Block 441 ANG MO KIO AVE 10,1.36606,103.85409849999999,666.4748292132361,736.4442151549118,9189.62773588338
Block 625 ANG MO KIO AVE 9,1.3822555,103.8412354,413.9516593004054,1256.9112813248423,11032.172493960195
Block 119 ANG MO KIO AVE 3,1.3696464,103.8449287,520.2108791262265,281.1373103510951,9607.116640811373
Block 255 ANG MO KIO AVE 4,1.3707178,103.83444200000001,1687.3059285923694,1293.3961666759212,9879.16494228388
Block 432 ANG MO KIO AVE 10,1.3683341,103.853555,479.43932287088137,583.7821961746429,9439.1437531545
Block 211 ANG MO KIO AVE 3,1.3692103999999998,103.84159770000001,893.7741256429143,575.9194245775144,9593.661480173538
Block 584 ANG MO KIO AVE 3,1.3707241000000001,103.8533979,430.98496767814026,567.3294328878433,9702.890468456846
Block 118 ANG MO KIO AVE 4,1.3732764,103.8354384,1412.4931669822427,1184.4479378976803,10137.178717661987
Block 333 ANG MO KIO AVE 1,1.3613131,103.8516526,990.3397331610698,975.0417291875033,8659.549539244414
Block 256 ANG MO KIO AVE 4,1.3705996999999999,103.83584599999999,1530.6375997445184,1139.7712648679326,9837.82833028258
Block 330 ANG MO KIO AVE 1,1.3623423000000001,103.85101850000001,864.3018144061443,843.6382156194549,8773.32025275829
Block 557 ANG MO KIO AVE 10,1.3716063,103.85772209999999,921.9588936860308,1058.1646689871764,9823.664047083386
Block 302 ANG MO KIO AVE 3,1.3670437,103.84565129999999,548.2806809835633,413.9701208268408,9314.35954372098
Block 575 ANG MO KIO AVE 10,1.3714233999999998,103.85582420000001,711.0304100064798,848.0381127613844,9790.36158171666
Block 509 ANG MO KIO AVE 8,1.3739957,103.85011259999999,442.9242827776747,375.7044252956217,10062.705678922252
Block 472 ANG MO KIO AVE 10,1.3631798000000002,103.8580845,1211.1937230643202,819.7939013155377,8897.96387061742
Block 475 ANG MO KIO AVE 10,1.362694,103.8566124,1126.151361870915,991.954795468473,8831.963945501042
Block 629 ANG MO KIO AVE 4,1.3801351,103.84042020000001,532.5292928914655,1097.6481015103832,10808.733918675842
Block 546 ANG MO KIO AVE 10,1.3735529,103.8568615,898.5477661676388,1037.697411155747,10031.986735330396
Block 131 ANG MO KIO AVE 3,1.3710409,103.84177890000001,876.2879331825246,480.31925014746525,9792.606684158747
Block 254 ANG MO KIO AVE 4,1.3703801000000002,103.8345568,1673.251048484964,1285.1986367692543,9840.078594184964
Block 470 ANG MO KIO AVE 10,1.3641395,103.8568162,1034.7002295057214,939.5018888539247,8992.967626688438
Block 463 ANG MO KIO AVE 10,1.3669193000000002,103.8574503,939.9579084087841,887.1741807752619,9304.57528833879
Block 207 ANG MO KIO AVE 1,1.3659321000000002,103.8429318,868.0665067926939,730.3294476495638,9217.374532094898
Block 304 ANG MO KIO AVE 1,1.3663881000000002,103.8450172,648.4402967388581,514.8985627106398,9247.101363900172
Block 646 ANG MO KIO AVE 6,1.3794551000000002,103.8438623,281.37499627085765,863.3715273358794,10697.582407862043
Block 328 ANG MO KIO AVE 3,1.3666828000000002,103.847848,417.22177190039224,320.4163269645232,9261.186260664932
Block 588C ANG MO KIO ST 52,1.3718689,103.8535776,488.57076732098074,627.7788024528088,9829.935801360169
Block 588D ANG MO KIO ST 52,1.371702,103.85391729999999,516.2514587437929,655.3521760430023,9812.536447624027
Block 101 ANG MO KIO AVE 3,1.3702489,103.8394238,1131.4231372678573,755.5610216293793,9737.650667897193
Block 430 ANG MO KIO AVE 3,1.3689993,103.8525585,349.4952906779043,461.5937389121216,9510.392837366384
Block 520 ANG MO KIO AVE 5,1.373385,103.851224,413.74405658961416,441.97727159633774,9994.313440258535
Block 716 ANG MO KIO AVE 6,1.3714565,103.8458551,444.56066817969526,56.80089982037734,9799.818606029252
Block 588A ANG MO KIO ST 52,1.3720758,103.8526491,409.2367205145004,546.9082003152569,9850.689452769553
Block 310A ANG MO KIO AVE 1,1.3648148,103.84392220000001,854.0997210337567,723.5796261776235,9083.844748107274
Block 613 ANG MO KIO AVE 4,1.3786753,103.8394238,700.8951643027576,1043.3929014390612,10661.526304993786
Block 101 BEDOK NTH AVE 4,1.3345093000000001,103.93787420000001,582.276774106675,1304.195435788426,11192.475338579949
Block 548 BEDOK NTH AVE 1,1.3305622,103.93087709999999,710.3164126727333,499.65212513825526,10300.056882240948
Block 75 BEDOK NTH RD,1.3279201999999999,103.94208909999999,493.2035235315521,1342.8095080675405,11258.869995880947
Block 550 BEDOK NTH AVE 1,1.3324573,103.92644275,867.9285108972341,764.6082063625033,9992.077057205131
Block 1 BEDOK STH AVE 1,1.320875,103.93374909999999,527.5229266423676,585.640162084931,10086.403538790055
Block 151 BEDOK RESERVOIR RD,1.3357781000000002,103.9117255,306.9557465366088,2240.123028017038,8903.982349959326
Block 54 CHAI CHEE ST,1.3296502000000001,103.92115109999999,710.4046801832001,1001.3744982770476,9329.530336910211
Block 50 CHAI CHEE ST,1.3293183000000002,103.9225179,824.3856638534256,846.8869115727769,9436.682862426194
Block 105 BEDOK RESERVOIR RD,1.3291336,103.909188,657.2418574759957,1967.104292329429,8217.476313933197
Block 528 BEDOK NTH ST 3,1.3329685,103.92663805,820.4770086190855,806.8210105453264,10041.266572537665
Block 534 BEDOK NTH ST 3,1.333142,103.9246859,774.5950913987982,930.144375092271,9871.345685563292
Block 77 BEDOK NTH RD,1.3287254,103.9419985,522.651936044856,1357.705947555864,11289.414262067046
Block 116 BEDOK RESERVOIR RD,1.3311124,103.9086442,440.67575720154196,2041.8768852974702,8308.488752910198
Block 18 BEDOK STH RD,1.3205036,103.9347465,639.2359577865229,690.6602486348733,10170.675436214373
Block 40 CHAI CHEE AVE,1.3261076,103.92649859999999,471.44616163582657,333.99860797249994,9631.166139284947
Block 57 NEW UPP CHANGI RD,1.3241216,103.9416303,644.5143770873867,1254.364684416288,11033.44469447197
Block 105 BEDOK NTH AVE 4,1.3336952,103.936605,507.5266595271664,1140.789509674119,11025.075853683833
Block 709 BEDOK RESERVOIR RD,1.3353499,103.9225106,496.0552923579365,1270.4234509911719,9813.992846338691
Block 42 CHAI CHEE ST,1.327988,103.925596,673.3412171774518,474.0865388983876,9649.533531460993
Block 55 CHAI CHEE DR,1.3271728999999999,103.9193384,906.4558672948262,1134.8870760477098,9010.737701961754
Block 2 BEDOK STH AVE 1,1.3213137,103.9333467,461.87276352082546,519.7243509858135,10065.999399286133
Block 37 CHAI CHEE AVE,1.3254507,103.9262267,469.30990001660047,374.73328771473984,9569.045033042818
Block 425 BEDOK NTH RD,1.3293501,103.9288099,607.0234671526648,349.8187864934067,10033.814330404077
Block 117 BEDOK NTH RD,1.3306475,103.93855390000002,897.1971276150736,1105.5871256240607,11047.763954416967
Block 423 BEDOK NTH AVE 1,1.3280121,103.9279867,503.55236008953074,256.1742890335,9879.811071939404
Block 533 BEDOK NTH ST 3,1.3329685,103.92673635,810.950467289805,802.5716706564953,10050.403131382445
Block 149 BEDOK RESERVOIR RD,1.3356275,103.9124505,382.5525835901629,2161.1947657674664,8954.245599188655
Block 35 BEDOK STH AVE 2,1.3223733999999998,103.93982290000001,920.0910280179362,1087.8706019417407,10770.915393835632
Block 42 BEDOK STH RD,1.3214933999999998,103.94072779999999,907.2982595989886,1212.4369781969624,10824.475629655113
Block 34 BEDOK STH AVE 2,1.3219812,103.9380553,902.916469257026,914.1751248150642,10573.530453542207
Block 7 BEDOK STH AVE 2,1.3227461999999999,103.935404,596.1005148796179,609.0227424055065,10340.464101113203
Block 8 BEDOK STH AVE 2,1.3228520000000001,103.9360838,667.374455527994,674.9126710045451,10413.940619341094
Block 80 BEDOK NTH RD,1.3285133,103.94072940000001,653.581614983879,1216.2795336620702,11152.708766067863
Block 78 BEDOK NTH RD,1.3272685,103.9409107,619.7113002049173,1198.6246128987748,11109.38916035059
Block 135 BEDOK RESERVOIR RD,1.3331403999999998,103.91226929999999,416.66677226667815,2062.463966424004,8762.385088284802
Block 148 BEDOK RESERVOIR RD,1.3353932,103.9118388,311.56557176109567,2209.2280335388573,8885.702575505758
Block 81 BEDOK NTH RD,1.3288806,103.9404575,692.2972365167476,1201.7700943506225,11144.142886100139
Block 142 BEDOK RESERVOIR RD,1.3357141000000001,103.91328879999999,476.2108439895013,2084.571510449694,9031.533061851498
Block 124 BEDOK NTH RD,1.3292548,103.9390071,858.9303012230628,1070.6296280137135,11019.81093328706
Block 705 BEDOK NTH RD,1.3366881000000002,103.9188853,182.25423938717276,1650.2419642172347,9582.132406649747
Block 554 BEDOK NTH ST 3,1.33285,103.928014,698.634113908728,746.8244837138687,10162.365972194444
Block 602 BEDOK RESERVOIR RD,1.3293395000000001,103.9115443,692.0815136734628,2026.580262328856,8438.442916562406
Block 508 BEDOK NTH AVE 3,1.3334266000000001,103.9324355,357.39075405104273,857.0472541385433,10612.488987242434
Block 720 BEDOK RESERVOIR RD,1.3359216999999999,103.9248671,761.6637718351258,1185.7784227973036,10063.597936418231
Block 765 BEDOK RESERVOIR VIEW,1.336151,103.93583459999999,311.5631770920779,1301.2177909700629,11092.780029921907
Block 10 CHAI CHEE RD,1.3270163000000001,103.92444090000001,720.8298278602792,568.6971668042692,9484.026250834235
Block 185 BEDOK NTH RD,1.3261717,103.94082,642.222131088572,1168.642717191114,11047.385900926505
Block 111 LENGKONG TIGA,1.3241496000000001,103.91117659999999,429.5373921877495,1953.5371852170954,8068.993694352841
Block 220B BEDOK CTRL,1.3256921999999998,103.9344209,503.3804159587848,456.0880486316953,10385.487619216785
Block 603 BEDOK RESERVOIR RD,1.3299934,103.9123599,671.5405469995244,1951.1576635983527,8554.466344698218
Block 21 CHAI CHEE RD,1.3258823999999998,103.92234470000001,898.1060545842558,796.9552464706393,9219.466431030649
Block 672 JLN DAMAI,1.3320621000000001,103.9089161,333.6303242308217,2131.0464275724694,8399.195564597921
Block 415 BEDOK NTH AVE 2,1.32985245,103.93025555,642.4038192454653,405.84161505114287,10200.560584122273
Block 763 BEDOK RESERVOIR VIEW,1.3362288999999998,103.9350188,220.62645824313367,1261.8347378479036,11020.482218015188
Block 805 CHAI CHEE RD,1.3245266000000002,103.9215136,968.7425222699309,908.8437925474077,9063.402543833829
Block 723 BEDOK RESERVOIR RD,1.3368473,103.9293084,419.5547642002941,1170.5766294934162,10527.211599875069
Block 722 BEDOK RESERVOIR RD,1.3366346000000002,103.9281301,549.775965771195,1156.8987771519735,10405.910032830034
Block 219C BEDOK CTRL,1.3248975,103.9333872,366.53465748497933,333.68364291344733,10243.109142440717
Block 640 BEDOK RESERVOIR RD,1.3321761,103.90499659999999,554.0901539420963,1803.6011393726355,8079.5848320847535
Block 160 BEDOK STH AVE 3,1.3192785,103.9451712,899.8203765856019,1760.60734738758,11190.72058930911
Block 94C BEDOK NTH AVE 4,1.3334774999999999,103.942633,805.255158190823,1544.3457945541695,11596.158088912161
Block 22 SIN MING RD,1.3572107,103.8392427,898.1668113581009,749.5723479721468,8314.827971952433
Block 407 SIN MING AVE,1.3634620000000002,103.834051,1686.292753630239,879.4474824003303,9101.811152749226
Block 105 BISHAN ST 12,1.3458125,103.84739509999999,571.9259392914992,559.4260598999342,6959.065859095117
Block 167 BISHAN ST 13,1.3479618,103.8555479,880.1146747624789,812.7279431874925,7198.681962285515
Block 111 BISHAN ST 12,1.347053,103.8481197,427.7009516322882,407.4839930606979,7091.489565640211
Block 181 BISHAN ST 13,1.3489256,103.8530122,578.5553758897073,511.15591430211595,7292.204150169631
Block 166 BISHAN ST 13,1.3488421,103.8552762,819.6945783250903,752.8097979129549,7293.916800778163
Block 109 BISHAN ST 12,1.3468105,103.8477812,456.86011304585725,441.6887734512765,7066.696190964204
Block 115 BISHAN ST 12,1.3480033000000002,103.8483915,323.1738237421483,298.93859457501185,7195.015565555852
Block 260 BISHAN ST 22,1.3596114,103.8420506,1180.202708884629,1155.1073962081498,8533.606489228323
Block 275A BISHAN ST 24,1.3566732,103.8435,824.0060738104934,884.3768159926086,8192.523065318788
